id,volume,rel_path,src,score,signals
lni175/527,lni175,lni175/527.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni175\527.pdf,10.0,"{""availability"": 1, ""source_vocab"": 1, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni308/313 DELFI2020_paper_53,lni308,lni308/313 DELFI2020_paper_53.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni308\313 DELFI2020_paper_53.pdf,2.0,"{""artifact_vocab"": 1, ""prog_lang"": 1}"
lni176/515,lni176,lni176/515.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni176\515.pdf,7.0,"{""source_vocab"": 2, ""artifact_vocab"": 3}"
lni314/P1-2,lni314,lni314/P1-2.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni314\P1-2.pdf,16.0,"{""repo_url"": 1, ""availability"": 1, ""source_vocab"": 2, ""artifact_vocab"": 3}"
lni65/GI-Proceedings.65-35,lni65,lni65/GI-Proceedings.65-35.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni65\GI-Proceedings.65-35.pdf,13.0,"{""availability"": 1, ""source_vocab"": 2, ""artifact_vocab"": 3, ""prog_lang"": 2}"
lni215/405,lni215,lni215/405.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni215\405.pdf,6.0,"{""source_vocab"": 2, ""artifact_vocab"": 2}"
lni160/379,lni160,lni160/379.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni160\379.pdf,3.0,"{""artifact_vocab"": 3}"
Modellierung_2022_WS/paper12 (3),Modellierung_2022_WS,Modellierung_2022_WS/paper12 (3).pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\Modellierung_2022_WS\paper12 (3).pdf,4.0,"{""source_vocab"": 1, ""artifact_vocab"": 2}"
lni293/proceedings-02,lni293,lni293/proceedings-02.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni293\proceedings-02.pdf,8.0,"{""source_vocab"": 2, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni130/35,lni130,lni130/35.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni130\35.pdf,1.0,"{""artifact_vocab"": 1}"
lni110/227,lni110,lni110/227.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni110\227.pdf,6.0,"{""availability"": 1, ""artifact_vocab"": 2}"
lni136/189,lni136,lni136/189.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni136\189.pdf,9.0,"{""availability"": 1, ""source_vocab"": 1, ""artifact_vocab"": 3}"
lni326/hs2032_09,lni326,lni326/hs2032_09.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni326\hs2032_09.pdf,0.0,{}
lni368/infos2025_wi_1,lni368,lni368/infos2025_wi_1.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni368\infos2025_wi_1.pdf,5.0,"{""source_vocab"": 1, ""artifact_vocab"": 3}"
lni220/2257,lni220,lni220/2257.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni220\2257.pdf,2.0,"{""artifact_vocab"": 1, ""prog_lang"": 1}"
lni121/17,lni121,lni121/17.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni121\17.pdf,4.0,"{""artifact_vocab"": 3, ""prog_lang"": 1}"
lni211/331,lni211,lni211/331.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni211\331.pdf,0.0,{}
